code,province,weight
A001,PD,20002
A005,LC,3209
A004,LO,284
A007,OR,2724
A006,SI,6344
A008,PE,392
A012,PT,629
A013,PZ,1496
A010,MI,32565
A014,RG,11182
A015,FG,2372
A016,CN,155
A017,MT,1823
A018,AQ,318
A019,RI,647
A020,PZ,2380
A022,BZ,1556
A023,SA,2768
A024,NA,59830
A025,CT,3524
A026,CT,18674
A027,CT,29671
A029,CT,18052
A028,CT,52574
A031,MC,122
A032,FR,270
A033,CS,1123
A034,BS,1565
A035,PU,4449
A038,MN,2935
A039,CR,1181
A040,VT,5449
A041,CS,1876
A042,LE,4745
A043,VV,2397
A044,AP,2855
A045,TR,4726
A047,AP,3805
A048,BA,20760
A049,CL,932
A050,CB,654
A051,IS,425
A052,AL,19695
A053,CS,20623
A054,FR,1915
A055,BA,17139
A056,CT,35894
A057,BG,2263
A059,RO,19604
A058,BG,819
A060,BS,7140
A061,VR,2341
A062,RM,1520
A064,NA,64558
A065,RC,3037
A067,PC,2081
A068,NA,7697
A069,OT,1503
A070,EN,8301
A071,PT,17668
A072,AT,1623
A074,TO,2647
A075,PD,3325
A076,CR,3872
A077,RC,550
A080,IS,5105
A081,FR,1217
A082,BS,1752
A083,BL,4111
A084,RM,1758
A085,VA,412
A087,MB,15463
A088,NO,1552
A089,AG,59605
A091,SA,21607
A092,AN,4875
A093,VI,1432
A094,AO,1394
A096,MB,2099
A097,OR,451
A098,EN,4852
A100,AQ,1474
A101,AV,4040
A105,CS,823
A106,CE,1351
A102,CS,1691
A103,UD,2255
A107,BI,341
A108,AO,2086
A109,TO,3765
A111,IM,401
A110,BN,8370
A112,LC,2868
A115,OT,1878
A113,CN,241
A116,TN,8907
A117,TO,465
A118,PV,854
A119,VC,431
A120,PE,3486
A121,BL,2760
A122,SV,10821
A124,CN,31453
A123,FR,28884
A125,TE,12430
A126,OR,264
A127,MI,4708
A128,SA,6468
A129,BG,8251
A130,VC,345
A131,PZ,1425
A132,RM,41654
A134,PV,252
A135,SO,307
A137,VR,5239
A138,PR,2150
