value,encoded,weight
Maria,MRA,33967
Anna,NNA,30805
Francesca,FNC,24605
Sara,SRA,17189
Laura,LRA,16652
Antonella,NNL,16202
Angela,NGL,15765
Elena,LNE,15415
Daniela,DNL,15270
Giulia,GLI,15049
Chiara,CHR,14785
Paola,PLA,14611
Valentina,VNT,14001
Silvia,SLV,13380
Cristina,CST,12456
Lucia,LCU,12422
Alessandra,LSN,11719
Patrizia,PRZ,11708
Stefania,SFN,11466
Martina,MTN,11409
Federica,FRC,11315
Roberta,RRT,11121
Alessia,LSS,11064
Giovanna,GNN,10811
Elisa,LSE,10616
Simona,SMN,10358
Monica,MNC,10264
Claudia,CLD,10059
Barbara,BBR,9959
Rosa,RSO,9642
Rita,RTI,9221
Michela,MHL,8063
Teresa,TRS,7774
Sabrina,SRN,7040
Ilaria,LRI,6818
Cinzia,CNZ,6720
Tiziana,TZN,6634
Valeria,VLR,6628
Giorgia,GRG,6575
Giusy,GSY,6456
Carmela,CML,6111
Sonia,SNO,6016
Marina,MRN,5944
Eleonora,LNR,5931
Veronica,VNC,5903
Caterina,CRN,5895
Luisa,LSU,5731
Emanuela,MNL,5639
Nadia,NDA,5470
Carla,CRL,5451
Manuela,MNL,5437
Serena,SRN,5414
Elisabetta,LBT,5283
Gabriella,GRL,5000
Loredana,LDN,4965
Marta,MRT,4939
Annamaria,NMR,4906
Silvana,SVN,4906
Rosanna,RNN,4677
Alice,LCA,4669
Pina,PNI,4657
Carmen,CMN,4635
Grazia,GRZ,4584
Rossella,RSL,4581
Katia,KTA,4556
Franca,FNC,4465
Jessica,JSC,4422
Antonietta,NNT,4375
Annalisa,NLS,4267
Arianna,RNN,4262
Giada,GDI,4206
Irene,RNI,4165
Rosaria,RSR,4155
Raffaella,RFL,4008
Marianna,MNN,3931
Margherita,MGH,3876
Sofia,SFO,3858
Adriana,DRN,3795
Mary,MRY,3759
Lina,LNI,3736
Giuseppina,GPP,3635
Anna Maria,NMR,3580
Beatrice,BRC,3545
Donatella,DTL,3520
