value,encoded,weight
Rossi,RSS,22416
Russo,RSS,18574
Esposito,SPS,17099
Romano,RMN,9298
Marino,MRN,7398
Ferrari,FRR,7358
Bruno,BRN,6661
Bianchi,BNC,6504
Greco,GRC,6489
Giordano,GRD,6111
Singh,SNG,6089
De Luca,DLC,5987
Gallo,GLL,5971
Rizzo,RZZ,5621
Ricci,RCC,5198
Caruso,CRS,5157
Costa,CST,5103
Ferrara,FRR,4960
Santoro,SNT,4767
Leone,LNE,4656
Colombo,CLM,4479
Vitale,VTL,4447
Mancini,MNC,4446
Coppola,CPP,4430
Conti,CNT,4320
Lombardi,LMB,4293
Amato,MTA,4222
Conte,CNT,4167
Maria,MRA,4164
Longo,LNG,4097
Messina,MSS,4058
D'Angelo,DNG,4048
Lombardo,LMB,3935
Gentile,GNT,3888
Parisi,PRS,3867
Fiore,FRI,3854
Bianco,BNC,3851
Palumbo,PLM,3711
Serra,SRR,3686
De Rosa,DRS,3684
Rinaldi,RNL,3649
Giuseppe,GSP,3633
Franco,FRN,3593
Fontana,FNT,3550
Ferraro,FRR,3423
Grasso,GRS,3405
Caputo,CPT,3371
Martino,MRT,3350
Sorrentino,SRR,3341
Moretti,MRT,3316
Barone,BRN,3282
Carbone,CRB,3174
Basile,BSL,3164
Pellegrino,PLL,3148
Sanna,SNN,3139
De Santis,DSN,3043
Romeo,RMO,3029
Pagano,PGN,3028
Orlando,RLN,2987
Martini,MRT,2971
Ruggiero,RGG,2967
Barbieri,BRB,2953
Testa,TST,2931
Mariani,MRN,2926
De Angelis,DNG,2924
Martinelli,MRT,2824
D'amico,DMC,2784
Piras,PRS,2784
Mauro,MRA,2752
Rosa,RSO,2749
Salvatore,SLV,2712
Marini,MRN,2710
Fusco,FSC,2708
Antonio,NTN,2700
Marco,MRC,2676
Ferri,FRR,2661
Morelli,MRL,2656
Francesco,FRN,2651
Napoli,NPL,2645
Stella,STL,2628
Catalano,CTL,2625
Palmieri,PLM,2624
De Simone,DSM,2616
Garofalo,GRF,2610
Luca,LCU,2598
Farina,FRN,2584
Calabrese,CLB,2570
Galli,GLL,2563
Mazza,MZZ,2560
Napolitano,NPL,2494
Ali,LAI,2468
Silvestri,SLV,2462
Pinna,PNN,2424
Pepe,PPE,2408
D'Agostino,DGS,2400
Cirillo,CRL,2397
Marchetti,MRC,2393
Battaglia,BTT,2379
Simone,SMN,2368
Costanzo,CST,2339
Valente,VLN,2330
Grimaldi,GRM,2327
Monaco,MNC,2326
Monti,MNT,2325
Pellegrini,PLL,2322
Pace,PCA,2315
Melis,MLS,2310
Perrone,PRR,2310
